Wall time,Step,Value
1688904533.678958,1,0.013054310344159603
1688904543.8153942,2,0.010234181769192219
1688904554.11836,3,0.009276391938328743
1688904565.741891,4,0.008675431832671165
1688904578.9615855,5,0.008167922496795654
1688904593.2617435,6,0.007790118455886841
1688904607.9230912,7,0.00747290113940835
1688904622.476082,8,0.007177668623626232
1688904637.0533776,9,0.006909513846039772
1688904651.4829628,10,0.0066395411267876625
1688904666.251594,11,0.006442179903388023
1688904680.9531844,12,0.006236264016479254
1688904695.242518,13,0.006066422909498215
1688904709.8519537,14,0.005882666911929846
1688904724.563072,15,0.005743248853832483
1688904739.556394,16,0.005622171796858311
1688904754.081012,17,0.005500627215951681
1688904768.7896044,18,0.005369775928556919
1688904783.3695347,19,0.005272306967526674
1688904797.7700338,20,0.005170046351850033
1688904812.4670334,21,0.00507690804079175
1688904827.091401,22,0.0049920110031962395
1688904840.4327114,23,0.004917483311146498
1688904851.730575,24,0.004848028067499399
1688904863.158537,25,0.004767767619341612
1688904873.0084205,26,0.004700337070971727
1688904883.0343711,27,0.0046403794549405575
1688904892.8148074,28,0.00457892706617713
1688904902.6687467,29,0.0045229531824588776
1688904912.4699242,30,0.004469264764338732
