Wall time,Step,Value
1688914790.044663,1,0.012055600993335247
1688914844.4407585,2,0.009281494654715061
1688914901.4957135,3,0.008088173344731331
1688914976.1248918,4,0.00718632061034441
1688915053.3780599,5,0.006476365029811859
1688915129.7495947,6,0.006082015577703714
1688915205.0398645,7,0.005682716146111488
1688915277.935515,8,0.005415840540081263
1688915350.7717679,9,0.005134038161486387
1688915418.6714158,10,0.004928863141685724
1688915486.4086223,11,0.00475393608212471
1688915564.0231063,12,0.004633896052837372
1688915633.4168878,13,0.004507922567427158
1688915708.1957002,14,0.004458486568182707
1688915784.7042916,15,0.0043269977904856205
1688915850.7715783,16,0.004206573590636253
1688915928.5620165,17,0.004119774326682091
1688915996.9037695,18,0.004014396108686924
1688916069.8631659,19,0.003947726916521788
1688916140.2295535,20,0.003880013944581151
1688916208.9731767,21,0.0038298305589705706
1688916284.7822948,22,0.003783126827329397
1688916360.3697836,23,0.003743864130228758
1688916437.383868,24,0.003713781014084816
1688916509.8216214,25,0.003693224396556616
1688916582.1541355,26,0.0036730365827679634
1688916654.7872515,27,0.0036572152748703957
1688916729.5676491,28,0.0036421448457986116
1688916795.7840834,29,0.0036272560246288776
1688916858.5645726,30,0.0036149057559669018
