Wall time,Step,Value
1688926904.84439,1,0.009772256948053837
1688926919.605042,2,0.00838577188551426
1688926932.6254456,3,0.007682982832193375
1688926946.9111903,4,0.007211605086922646
1688926961.3095486,5,0.0069024693220853806
1688926976.0893352,6,0.006553881801664829
1688926991.318026,7,0.006259294226765633
1688927005.2706797,8,0.006033687386661768
1688927020.4393682,9,0.0058733997866511345
1688927034.672935,10,0.005733017809689045
1688927050.037631,11,0.0056159100495278835
1688927064.4517095,12,0.005441255401819944
1688927080.0473688,13,0.00531480647623539
1688927094.6903355,14,0.005220898427069187
1688927109.4638526,15,0.005152393132448196
1688927123.9271777,16,0.005065661855041981
1688927138.2653985,17,0.0049904645420610905
1688927151.268697,18,0.004931171890348196
1688927164.101433,19,0.004888844210654497
1688927177.203484,20,0.004842921160161495
1688927191.5126572,21,0.00479871267452836
1688927205.5007184,22,0.004768186714500189
1688927220.6445675,23,0.004737839102745056
1688927236.0413494,24,0.00471222260966897
1688927257.4466872,25,0.004693294409662485
1688927289.7165873,26,0.004673331044614315
1688927328.185643,27,0.00465790880843997
1688927369.7558444,28,0.004645159002393484
1688927423.3085394,29,0.004633959848433733
1688927474.5938017,30,0.004623498767614365
