Wall time,Step,Value
1688983517.5161622,1,0.021473325788974762
1688983575.2309513,2,0.01703312061727047
1688983636.2096994,3,0.014858771115541458
1688983696.8452787,4,0.01308424398303032
1688983758.4446867,5,0.011930732987821102
1688983819.864519,6,0.010990196838974953
1688983885.0090408,7,0.010493988171219826
1688983949.1647794,8,0.009905131533741951
1688984010.3958242,9,0.009471087716519833
1688984070.6159801,10,0.009072532877326012
1688984132.8413594,11,0.008784927427768707
1688984195.4065568,12,0.008497346192598343
1688984258.5877872,13,0.008282185532152653
1688984317.896329,14,0.008087381720542908
1688984380.368447,15,0.00792438443750143
1688984442.615524,16,0.007785326335579157
1688984506.270603,17,0.007659577298909426
1688984569.483746,18,0.007558814715594053
1688984635.1494558,19,0.007462495006620884
1688984695.6131928,20,0.007385541684925556
1688984752.7578185,21,0.007316209375858307
1688984815.613358,22,0.007253784220665693
1688984877.8426964,23,0.007203852757811546
1688984938.6437135,24,0.007159435655921698
1688985002.0470629,25,0.007124995347112417
1688985058.4001198,26,0.007095030974596739
1688985102.5961404,27,0.0070656826719641685
1688985136.357015,28,0.007041263859719038
1688985166.6827767,29,0.0070206522941589355
1688985183.0697172,30,0.007002229802310467
