Wall time,Step,Value
1688906866.7691884,1,0.015182780101895332
1688906870.9015617,2,0.011973225511610508
1688906875.0780764,3,0.01057849358767271
1688906880.1205642,4,0.009620311670005322
1688906885.2355855,5,0.008954603224992752
1688906890.9889467,6,0.00852577481418848
1688906897.0425491,7,0.008044491522014141
1688906903.162083,8,0.007639660034328699
1688906909.5707743,9,0.00730327982455492
1688906916.9375753,10,0.006972646806389093
1688906924.903909,11,0.006739484146237373
1688906934.1521757,12,0.006551290862262249
1688906944.574671,13,0.006380779668688774
1688906954.7530375,14,0.00619726674631238
1688906964.8101823,15,0.0060617378912866116
1688906975.3735857,16,0.005964354611933231
1688906987.0200946,17,0.005847468040883541
1688906998.974912,18,0.005756007507443428
1688907013.60379,19,0.005664905067533255
1688907027.425447,20,0.0055921063758432865
1688907041.921277,21,0.005538553930819035
1688907056.7445834,22,0.005481897387653589
1688907072.3024611,23,0.0054365964606404305
1688907087.9878943,24,0.005397567059844732
1688907103.1512637,25,0.005365828983485699
1688907118.7372797,26,0.005340792238712311
1688907133.1613343,27,0.005316528026014566
1688907147.8815157,28,0.005293773487210274
1688907162.7442832,29,0.005274354945868254
1688907177.524862,30,0.0052598826587200165
