Wall time,Step,Value
1684766672.8480942,0,0.010363134555518627
1684766777.2040956,1,0.009419765323400497
1684766882.6320426,2,0.008854039013385773
1684766984.9407127,3,0.008413192816078663
1684767093.5140698,4,0.00790526531636715
1684767195.8196115,5,0.007757309824228287
1684767301.3213804,6,0.0077806743793189526
1684767411.147874,7,0.007721127942204475
1684767522.6833541,8,0.007281564641743898
1684767603.31018,9,0.007441056426614523
1684767613.4456115,10,0.007269407156854868
1684767623.474368,11,0.007378251291811466
1684767633.4655454,12,0.0070421574637293816
1684767643.2419503,13,0.006977467332035303
1684767653.6711292,14,0.007062064483761787
1684767663.916918,15,0.0068768649362027645
1684767674.1730828,16,0.006717747543007135
1684767684.510695,17,0.006543007679283619
1684767694.9840336,18,0.00657709501683712
1684767705.2657266,19,0.0065084598027169704
1684767715.9315329,20,0.006565651390701532
1684767725.888977,21,0.006456316448748112
1684767735.6091478,22,0.006506224162876606
1684767745.650126,23,0.006460658274590969
1684767756.2027602,24,0.006295154336839914
1684767766.641527,25,0.0063051083125174046
1684767776.9027045,26,0.0064124539494514465
1684767787.120492,27,0.006260535679757595
1684767797.0516176,28,0.00625305762514472
1684767807.499358,29,0.006510400678962469
1684767817.9931931,30,0.006183004006743431
1684767827.8384738,31,0.006220082752406597
1684767838.376301,32,0.0061715710908174515
1684767849.2832227,33,0.0062637063674628735
1684767859.4482095,34,0.006023677531629801
1684767869.771341,35,0.006385416258126497
1684767879.6469502,36,0.006027866620570421
1684767890.1153958,37,0.006327309645712376
1684767900.4383187,38,0.0061783683486282825
1684767910.9848075,39,0.005953884217888117
1684767921.2196207,40,0.0060451640747487545
1684767932.1332946,41,0.005865886807441711
1684767942.6420753,42,0.005715247709304094
1684767953.6738167,43,0.005740428809076548
1684767964.1725981,44,0.0057233539409935474
1684767974.8786635,45,0.005612640175968409
1684767985.5494735,46,0.005549988243728876
1684767996.286604,47,0.005596579052507877
1684768007.1920927,48,0.005591834895312786
1684768017.8832905,49,0.005589637439697981
1684768028.6198905,50,0.005573035217821598
1684768040.2414858,51,0.005474122241139412
1684768051.0623496,52,0.005560221616178751
1684768062.261774,53,0.00547507731243968
1684768073.0107467,54,0.005482995416969061
1684768084.5362535,55,0.005423609167337418
1684768095.5488014,56,0.005346248857676983
1684768107.3692162,57,0.005271741654723883
1684768118.361277,58,0.005286591127514839
1684768129.4287794,59,0.005449160933494568
1684768141.3209455,60,0.00526652904227376
1684768152.4435842,61,0.005278591997921467
1684768163.5821872,62,0.005341688636690378
1684768174.8481221,63,0.005382584407925606
1684768186.7920325,64,0.005369255319237709
1684768198.0116332,65,0.005286619532853365
1684768209.5262837,66,0.005264798644930124
1684768221.4824333,67,0.005277841351926327
1684768233.4286594,68,0.005220906343311071
1684768245.6095152,69,0.00519927404820919
1684768257.2009351,70,0.005288606509566307
1684768268.3107688,71,0.005239516496658325
1684768279.751565,72,0.00520592276006937
1684768291.0232313,73,0.005294926464557648
1684768302.2023451,74,0.005157145205885172
1684768312.7779408,75,0.005165985319763422
1684768324.3690102,76,0.005189997144043446
1684768335.4257762,77,0.005174113437533379
1684768346.7019536,78,0.005091350059956312
1684768357.683598,79,0.005057602189481258
1684768368.6147022,80,0.005116620566695929
1684768379.8572996,81,0.0051641459576785564
1684768390.4507587,82,0.00501261418685317
1684768401.44926,83,0.00499076209962368
1684768412.771264,84,0.005023259669542313
1684768424.2236197,85,0.004915585275739431
1684768435.7259367,86,0.0049528321251273155
1684768447.1552124,87,0.004975182935595512
1684768458.8025725,88,0.004945163615047932
1684768470.7215014,89,0.005100981332361698
1684768482.699798,90,0.005046537611633539
1684768494.7308905,91,0.0051117269322276115
1684768506.9094918,92,0.005293757189065218
1684768518.952121,93,0.005386136472225189
1684768529.4457207,94,0.0051852078177034855
1684768538.8242438,95,0.005083410535007715
1684768548.7023513,96,0.005006180144846439
1684768559.4554586,97,0.0049065412022173405
1684768571.7951717,98,0.004931765142828226
1684768585.379865,99,0.004933934658765793
