Wall time,Step,Value
1684951604.3844962,1,0.13724295794963837
1684952966.846799,2,0.26979464292526245
1684954373.9580786,3,0.15832391381263733
1684955758.3643768,4,0.09730619937181473
1684957162.891603,5,0.24070553481578827
1684958589.886349,6,0.14860272407531738
1684959956.280649,7,0.09580492228269577
1684961345.7966309,8,0.23566657304763794
1684962753.2066581,9,0.1448768675327301
1684964096.3013248,10,0.09517545998096466
1684965460.1074145,11,0.22413691878318787
1684966892.6843011,12,0.13624094426631927
1684968279.6463437,13,0.08361151814460754
1684969648.5927093,14,0.2107824832201004
1684971100.3474658,15,0.13509787619113922
1684972464.7956376,16,0.0806349441409111
1684973798.6261253,17,0.2037266045808792
1684975218.4779494,18,0.130463644862175
1684976597.2571695,19,0.08031291514635086
1684977979.1379938,20,0.20323769748210907
1684979418.4915645,21,0.1272764801979065
1684980770.1882155,22,0.07812885195016861
1684982146.1889846,23,0.20610207319259644
1684983589.5900693,24,0.12604130804538727
1684984969.9521825,25,0.07498233020305634
1684986353.703549,26,0.19582891464233398
1684987826.235014,27,0.12308984249830246
1684989213.8750508,28,0.07520613819360733
1684990601.6792552,29,0.19400185346603394
1684992112.4249072,30,0.1207580417394638
1684993511.3565106,31,0.07293137907981873
1684994859.2656574,32,0.19290688633918762
1684996507.3100019,33,0.11783112585544586
1684997921.6664107,34,0.07046331465244293
1684999343.0940886,35,0.19179955124855042
1685001370.935815,36,0.11870681494474411
