Wall time,Step,Value
1685887301.2187138,0,0.01694018952548504
1685887319.5123947,1,0.015271013602614403
1685887330.6889632,2,0.013949002139270306
1685887341.6884878,3,0.013229962438344955
1685887353.2004445,4,0.012581652030348778
1685887364.607205,5,0.012142078019678593
1685887376.4436586,6,0.01197375450283289
1685887390.1646495,7,0.011636251583695412
1685887402.5152025,8,0.011197547428309917
1685887414.7186894,9,0.011209258809685707
1685887428.6517854,10,0.010873652063310146
1685887441.591359,11,0.010731874965131283
1685887456.2966135,12,0.010530054569244385
1685887470.2619903,13,0.010367967188358307
1685887483.9984112,14,0.010231495834887028
1685887498.1971388,15,0.009966573677957058
1685887511.9758363,16,0.009722192771732807
1685887527.5804017,17,0.009421365335583687
1685887541.4862149,18,0.009440464898943901
1685887556.7203927,19,0.009267240762710571
1685887570.433212,20,0.00917522981762886
1685887586.3525414,21,0.008981624618172646
1685887602.7800333,22,0.008960988372564316
1685887618.7860208,23,0.008857622742652893
1685887635.7192786,24,0.008657736703753471
1685887652.016001,25,0.008676677942276001
1685887666.881655,26,0.00876356940716505
1685887682.3714414,27,0.008521320298314095
1685887697.8108926,28,0.008440036326646805
1685887713.4305499,29,0.00862570945173502
