Wall time,Step,Value
1688307160.3682458,1,0.01983763836324215
1688307227.9746346,2,0.016459545120596886
1688307289.1399658,3,0.013385269790887833
1688307348.5834906,4,0.011567053385078907
1688307408.0629528,5,0.010419270023703575
1688307465.3230355,6,0.009426918812096119
1688307527.4984508,7,0.00885282177478075
1688307592.4650562,8,0.008558886125683784
1688307658.3424115,9,0.007725915405899286
1688307722.844299,10,0.007529408670961857
1688307785.1483774,11,0.007260576821863651
1688307853.9459403,12,0.0068813771940767765
1688307932.6418009,13,0.006732259411364794
1688308008.9138007,14,0.006567500531673431
1688308085.8070219,15,0.006338868755847216
1688308174.0528607,16,0.006120108999311924
1688308239.4902875,17,0.006134534254670143
1688308302.3039606,18,0.006032724864780903
1688308365.3204985,19,0.006050097290426493
1688308430.0581234,20,0.0058591621927917
1688308495.993043,21,0.005769500508904457
1688308558.2728121,22,0.005770483054220676
1688308619.599561,23,0.006172957830131054
1688308681.4741533,24,0.006061107851564884
1688308747.781805,25,0.00604309281334281
1688308812.0082514,26,0.006124305073171854
1688308874.9132674,27,0.005858223885297775
1688308930.3191936,28,0.005941723007708788
1688308977.7002368,29,0.006002767942845821
1688309018.5086913,30,0.005732615943998098
