Wall time,Step,Value
1693865876.4090738,1,0.011243070475757122
1693865891.521422,2,0.00883694551885128
1693865904.468682,3,0.0078448336571455
1693865917.4506133,4,0.007158368360251188
1693865931.068767,5,0.006634225137531757
1693865943.6484897,6,0.006285358220338821
1693865957.695926,7,0.005964465439319611
1693865970.0411427,8,0.005694337654858828
1693865983.915883,9,0.0055096885189414024
1693865997.4777775,10,0.005330018233507872
1693866011.0494184,11,0.005179168190807104
1693866024.6192946,12,0.0050543504767119884
1693866036.7720442,13,0.004955911543220282
1693866051.6592848,14,0.004874056205153465
1693866064.9260998,15,0.0047922562807798386
1693866077.0807152,16,0.004721916746348143
1693866089.2436762,17,0.004662845283746719
1693866100.9926147,18,0.004616832360625267
1693866114.5155034,19,0.004574615508317947
1693866126.6849346,20,0.00453442707657814
1693866146.173033,21,0.004506715573370457
1693866161.280386,22,0.004481185227632523
1693866180.3714013,23,0.004451972432434559
1693866195.3123846,24,0.004431764129549265
1693866214.7506115,25,0.004415285773575306
1693866228.784418,26,0.004398351069539785
1693866248.4382565,27,0.004384974949061871
1693866265.8722339,28,0.004372944124042988
1693866283.4768066,29,0.004363644868135452
1693866302.3770123,30,0.00435467716306448
