Wall time,Step,Value
1688979519.8314106,1,0.01621313951909542
1688979525.0912156,2,0.010678277350962162
1688979530.7441022,3,0.009343039244413376
1688979537.7423015,4,0.008475528098642826
1688979544.8942018,5,0.007538588717579842
1688979552.6113393,6,0.0068697151727974415
1688979560.6626585,7,0.006372006144374609
1688979569.9673297,8,0.006000518333166838
1688979579.9561708,9,0.005693489219993353
1688979590.8103366,10,0.0054159583523869514
1688979603.2396336,11,0.0051038265228271484
1688979616.3347864,12,0.004887882620096207
1688979630.3542285,13,0.004726956132799387
1688979646.126948,14,0.004555600229650736
1688979661.8772423,15,0.004424136132001877
1688979677.2444024,16,0.004314085468649864
1688979692.667117,17,0.004210840445011854
1688979707.8827837,18,0.004131484776735306
1688979723.031937,19,0.0040428852662444115
1688979738.643766,20,0.003989383578300476
1688979753.3103077,21,0.003948402591049671
1688979768.0084183,22,0.0038906726986169815
1688979783.6508975,23,0.003854870330542326
1688979797.9093502,24,0.003822650760412216
1688979812.984408,25,0.003795686410740018
1688979828.3625665,26,0.003775066928938031
1688979840.677052,27,0.0037542388308793306
1688979853.3147974,28,0.0037379006389528513
1688979870.6498291,29,0.003722765715792775
1688979882.9396043,30,0.0037108866963535547
